chr1	97720539	97720540	1
chr1	203676632	203676633	1
chr10	53041387	53041388	1
chr10	101484067	101484068	1
chr1	44765718	44765719	1
chr1	231699377	231699378	1
chr1	110523461	110523462	1
chr10	95659298	95659299	1
chr10	123495948	123495949	1
chr10	124631272	124631273	1
chr1	109221684	109221685	1
chr10	81225848	81225849	1
chr10	99998064	99998065	1
chr1	46701327	46701328	1
chr1	189197091	189197092	1
chr1	229337849	229337850	1
chr11	108984858	108984859	1
chr1	14108864	14108865	1
chr1	31189145	31189146	1
chr10	110545248	110545249	1
chr1	94354294	94354295	1
chr10	99303019	99303020	1
chr1	94959556	94959557	1
chr1	245860270	245860271	1
chr10	7807655	7807656	1
chr1	47541355	47541356	1
chr10	12037204	12037205	1
chr10	6668692	6668693	1
chr1	172180038	172180039	1
chr10	120067525	120067526	1
chr11	111909532	111909533	1
chr10	101740241	101740242	1
chr1	204312639	204312640	1
chr1	46024655	46024656	1
chr1	246540871	246540872	1
chr1	161805439	161805440	1
chr1	45952184	45952185	1
chr10	77402791	77402792	1
chr1	196889518	196889519	1
chr10	102990387	102990388	1
chr10	101908677	101908678	1
chr1	114052530	114052531	1
chr11	113102919	113102920	1
chr10	44476270	44476271	1
chr10	86475107	86475108	1
chr11	109378821	109378822	1
chr1	104380711	104380712	1
chr1	41816211	41816212	1
chr1	9465692	9465693	1
chr11	106023609	106023610	1
chr1	42345694	42345695	1
chr1	182242753	182242754	1
chr10	35922308	35922309	1
chr1	212100152	212100153	1
chr1	178727198	178727199	1
chr10	37573790	37573791	1
chr1	98769654	98769655	1
chr1	207645500	207645501	1
chr10	36467450	36467451	1
chr1	3174679	3174680	1
chr10	16539471	16539472	1
chr1	64996090	64996091	1
chr1	36248632	36248633	1
chr1	20650717	20650718	1
chr1	105536309	105536310	1
chr1	111960083	111960084	1
chr1	51427872	51427873	1
chr1	61282005	61282006	1
chr10	3869819	3869820	1
chr10	620438	620439	1
chr10	122849018	122849019	1
chr1	208893850	208893851	1
chr1	228619600	228619601	1
chr1	18547203	18547204	1
chr10	69234560	69234561	1
chr1	60535420	60535421	1
chr1	182743854	182743855	1
chr1	167729726	167729727	1
chr10	44344768	44344769	1
chr1	201284900	201284901	1
chr1	207925861	207925862	1
chr1	228244255	228244256	1
chr1	235425511	235425512	1
chr1	205096376	205096377	1
chr1	45317899	45317900	1
chr1	248574261	248574262	1
chr10	126680744	126680745	1
chr1	8000579	8000580	1
chr1	246982241	246982242	1
chr10	8197677	8197678	1
chr10	55462765	55462766	1
chr1	27812072	27812073	1
chr10	81939509	81939510	1
chr1	166120498	166120499	1
chr10	31900835	31900836	1
chr10	33169555	33169556	1
chr10	16539604	16539605	1
chr10	48134231	48134232	1
chr1	13595606	13595607	1
chr1	17134126	17134127	1
chr1	13344024	13344025	1
chr10	23121586	23121587	1
chr10	130674935	130674936	1
chr1	162543060	162543061	1
chr1	107283766	107283767	1
chr1	214505775	214505776	1
chr1	53688458	53688459	1
chr1	9274280	9274281	1
chr10	129633373	129633374	1
chr10	34303648	34303649	1
chr10	88191740	88191741	1
chr1	171871647	171871648	1
chr1	42139943	42139944	1
chr10	111221617	111221618	1
chr10	4037574	4037575	1
chr10	105710265	105710266	1
chr1	237863275	237863276	1
chr1	241698810	241698811	1
chr10	90608163	90608164	1
chr1	200879734	200879735	1
chr1	239745271	239745272	1
chr1	35472073	35472074	1
chr10	71225242	71225243	1
chr10	56720289	56720290	1
chr10	17718402	17718403	1
chr1	96367953	96367954	1
chr1	247133207	247133208	1
chr1	157554209	157554210	1
chr1	97814478	97814479	1
chr11	111572307	111572308	1
chr10	100421568	100421569	1
chr10	75006472	75006473	1
chr1	49282297	49282298	1
chr1	229413707	229413708	1
chr1	155719453	155719454	1
chr1	150583221	150583222	1
chr1	169366605	169366606	1
chr1	199999025	199999026	1
chr10	27955025	27955026	1
chr10	58543036	58543037	1
chr10	22449481	22449482	1
chr1	27144997	27144998	1
chr1	47467276	47467277	1
chr10	114000103	114000104	1
chr1	10179785	10179786	1
chr10	57192394	57192395	1
chr1	23846547	23846548	1
chr10	105784451	105784452	1
chr1	51003148	51003149	1
chr1	57349152	57349153	1
chr1	232117209	232117210	1
chr10	50184177	50184178	1
chr10	104132557	104132558	1
chr1	245679126	245679127	1
chr1	228105784	228105785	1
chr1	76703865	76703866	1
chr1	23891561	23891562	1
chr10	100035534	100035535	1
chr10	115189532	115189533	1
chr1	84300983	84300984	1
chr10	78772248	78772249	1
chr1	161845430	161845431	1
chr10	50234076	50234077	1
chr1	112298910	112298911	1
chr10	35987907	35987908	1
chr1	41119682	41119683	1
chr1	5973961	5973962	1
chr10	36119728	36119729	1
chr1	20231480	20231481	1
chr10	122896998	122896999	1
chr10	74144869	74144870	1
chr10	31969883	31969884	1
chr10	77027519	77027520	1
chr10	44673394	44673395	1
chr10	103040083	103040084	1
chr1	190509372	190509373	1
chr10	119687927	119687928	1
chr1	214068519	214068520	1
chr1	24551902	24551903	1
chr1	11694415	11694416	1
chr10	113963926	113963927	1
chr10	13232360	13232361	1
chr1	96909836	96909837	1
chr10	24327019	24327020	1
chr1	226601420	226601421	1
chr1	161359237	161359238	1
chr10	125680464	125680465	1
chr10	90518938	90518939	1
chr10	100421611	100421612	1
chr10	54034341	54034342	1
chr1	118511025	118511026	1
chr1	2148081	2148082	1
chr1	2086570	2086571	1
chr1	227197220	227197221	1
chr1	54076465	54076466	1
chr10	101723045	101723046	1
chr1	220770157	220770158	1
chr10	126306613	126306614	1
chr10	72772847	72772848	1
chr1	15597494	15597495	1
chr10	90533617	90533618	1
chr10	49857574	49857575	1
chr1	94017631	94017632	1
chr10	42992175	42992176	1
chr10	57374949	57374950	1
chr11	10103171	10103172	1
chr1	51741494	51741495	1
chr1	207653131	207653132	1
chr1	81581523	81581524	1
chr1	234492404	234492405	1
